id_prestamo;fecha_prestamo;fecha_vencimiento;fecha_devolucion;id_usuario;tipo_usuario;nombre_usuario;id_libro;isbn;titulo_libro;autor;categoria;sede_biblioteca;estado_prestamo;multa_crc;canal_prestamo;id_bibliotecario;renovaciones;observaciones;cantidad_por_id
PRE0000131;2024-02-19;2024-02-26;2024-03-03;USR002292;Estudiante  ;Andrés Torres Blanco       ;LB00561;1856724380701;Ciencia de Datos Aplicada Vol. 1        ;A. Solís       ;Historia   ;Central          ;Devuelto    ;1500    ;Autoservicio;BIB0010;2              ;Renovado una vez               ;2
PRE0000131;2026-01-19;2026-01-26;          ;USR001755;Estudiante  ;  Camila Calvo Herrera      ;LB00720;4617679298842;Economía Digital Vol. 2                ;M. Sánchez     ;Derecho    ;Humanidades      ;Atrasado    ;12000   ;Autoservicio;BIB0025;0              ;Renovado una vez               ;2
PRE0000144;2024-04-15;2024-04-22;          ;USR003553;FUNC        ;Camila Aguilar Rodríguez   ;LB00027;9816934060883;Ciencia de Datos Aplicada Vol. 3        ;C. Vargas       ;Arte       ;Atlántico       ;Perdido     ;10000   ;App móvil  ;BIB0001;3              ;Préstamo interbibliotecario   ;2
PRE0000144;2024-11-10;2024-11-17;2024-11-25;USR004293;Estudiante  ;María Rojas Valverde       ;LB00415;5273543520904;Análisis Multivariado Vol. 4           ;S. Gómez       ;Ciencia    ;Salud            ;Devuelto    ;2000    ;App móvil  ;BIB0027;1              ;                               ;2
PRE0000157;2023-05-09;2023-05-30;          ;USR004074;Estudiante  ;Andrés Mora Cordero        ;LB00136;2054932966851;Metodología de la Investigación Vol. 4;M. Sánchez     ;Ingeniería;Ciencias Sociales;En préstamo;0       ;En línea   ;BIB0022;0              ;Usuario reporta portada dañada;2
PRE0000157;2025-08-16;2025-09-13;2025-09-19;USR003100;Estudiante  ;Sebastián Navarro Chaves   ;LB00238;0744666099353;Gobernanza de Datos Vol. 3              ;L. Rodríguez   ;Ingeniería;Humanidades      ;Devuelto    ;1500    ;Mostrador   ;BIB0034;0              ;                               ;2
PRE0000170;2024-06-20;2024-07-18;2024-07-20;USR004480;Estudiante  ;María Murillo Solano       ;LB00588;9156716493289;Teoría de la Información Vol. 4       ;E. Quesada      ;Ingeniería;Humanidades      ;Devuelto    ;-250    ;Autoservicio;BIB0023;3              ;Entrega con atraso             ;2
PRE0000170;2024-12-19;2025-01-16;          ;USR002162;Estudiante  ;Natalia Jiménez Rojas      ;LB00343;5979270335211;Modelado Dimensional Vol. 1             ;D. Fernández   ;MATEMATICA ;Salud            ;En préstamo;0       ;            ;BIB0006;0              ;Usuario reporta portada dañada;2
PRE0000174;2023-11-24;2023-12-08;2024-02-30;USR000778;Externo     ;Julio Vega Aguilar          ;LB00224;6527047743490;Derecho de la Información Vol. 4       ;S. Gómez       ;Educación ;Salud            ;Devuelto    ;1750    ;Mostrador   ;BIB0014;0              ;Revisión pendiente            ;2
PRE0000174;2024-12-11;2025-01-08;2025-01-20;USR002309;Docente     ;María Torres Vega          ;LB00313;2535544964759;Derecho de la Información Vol. 4       ;C. Inmon        ;Historia   ;Ingenierías     ;Devuelto    ;3000    ;App móvil  ;BIB0039;0              ;Entrega con atraso             ;2
PRE0000195;2025-08-18;2025-09-08;2025-09-08;USR003688;Estudiante  ;Kevin Mora Blanco           ;LB00114;2370589578291;Modelado Dimensional Vol. 2             ;A. Pérez       ;Tecnología;Atlántico       ;Devuelto    ;0       ;Mostrador   ;BIB0008;1              ;Préstamo interbibliotecario   ;2
PRE0000195;2025-10-07;2025-10-21;2025-10-17;USR001994;Docente     ;Camila Murillo Calvo        ;LB00651;5662056341115;Metodología de la Investigación Vol. 1;L. Mora         ;Medicina   ;Central          ;Devuelto    ;0       ;Mostrador   ;BIB0011;0              ;Revisión pendiente            ;2
PRE0000197;2025-02-02;2025-03-02;          ;USR001457;Estudiante  ;Sofía Rojas Torres         ;LB00380;9669583219719;Gobernanza de Datos Vol. 1              ;C. Vargas       ;Tecnología;Atlántico       ;Atrasado    ;94500   ;En línea   ;BIB0009;0              ;Préstamo interbibliotecario   ;2
PRE0000197;2025-07-30;2025-08-20;          ;USR004996;Estudiante  ;Carlos Rojas Quesada        ;LB00179;7721903404384;Ciencia de Datos Aplicada Vol. 4        ;J. Ramírez     ;Ingeniería;Salud            ;Atrasado    ;51750   ;App móvil  ;BIB0031;0              ;Usuario reporta portada dañada;2
PRE0000217;2024-09-27;2024-10-25;          ;USR000558;Estudiante  ;Valeria Vargas Sánchez     ;LB00128;3091307562636;Derecho de la Información Vol. 4       ;L. Rodríguez   ;Derecho    ;Pacífico        ;Atrasado    ;126500  ;Mostrador   ;BIB0018;0              ;                               ;2
PRE0000217;2025-12-24;2026-01-14;2026-01-09;USR001341;Estudiante  ;Gabriela Castro Salazar     ;LB00458;6965917135785;                                        ;R. Kimball      ;Educación ;Salud            ;Extraviad   ;0       ;Mostrador   ;BIB0002;1              ;                               ;2
PRE0000220;2023-02-25;2023-03-11;2023-03-06;USR004005;Externo     ;Javier Valverde Navarro     ;LB00105;0515319520585;Derecho de la Información Vol. 4       ;A. Solís       ;Matemática;Central          ;Devuelto    ;0       ;Autoservicio;BIB0009;0              ;                               ;2
PRE0000220;2024-12-17;2025-01-07;2025-01-12;USR003480;Funcionario ;Gabriela Blanco Murillo     ;LB00261;7829221699586;Algoritmos y Estructuras Vol. 1         ;J. Ramírez     ;Sociología;Atlántico       ;Devuelto    ;1250    ;Mostrador   ;BIB0003;3              ;                               ;2
PRE0000225;2023-10-25;2023-11-15;          ;USR001323;Estudiante  ;María Rodríguez Herrera   ;LB00219;7626765861793;Metodología de la Investigación Vol. 1;M. Ross         ;Arte       ;Pacífico        ;En préstamo;0       ;App móvil  ;BIB0007;9              ;Préstamo interbibliotecario   ;2
PRE0000225;2024-11-14;2024-12-12;          ;USR001744;Estudiante  ;José Aguilar Rojas         ;LB00418;0780686717731;Administración de Proyectos Vol. 1     ;J. Ramírez     ;Literatura ;Salud            ;En préstamo;0       ;Mostrador   ;BIB0016;3              ;N/A                            ;2
PRE0000227;2024-11-14;2024-11-28;2024-12-10;USR003314;Estudiante  ;Daniela Rojas Castro        ;LB00465;12345        ;Programación en Python Vol. 1          ;S. Atre         ;Literatura ;Humanidades      ;Devuelto    ;3000    ;Autoservicio;BIB0021;1              ;Renovado una vez               ;2
PRE0000227;2024-12-04;2024-12-18;          ;USR000560;Estudiante  ;Laura Sánchez Torres       ;LB00370;6173574384215;Sistemas de Información Vol. 3         ;M. Ross         ;Matemática;Ciencias Sociales;En préstamo;0       ;Mostrador   ;BIB0036;1              ;Renovado una vez               ;2
PRE0000237;2023-02-15;2023-02-22;2023-02-27;USR000375;Docente     ;Lucía Blanco Jiménez      ;LB00581;9524364027011;Sistemas de Información Vol. 4         ;C. Inmon        ;Historia   ;Central          ;Devuelto    ;1250    ;App móvil  ;BIB0023;2              ;                               ;2
PRE0000237;2024-09-04;2024-09-25;2024-09-20;USR003532;Estudiante  ;Sofía Vargas Solano        ;LB00079;3657661565452;Derecho de la Información Vol. 2       ;J. Ramírez     ;Medicina   ;Ciencias Sociales;Devuelto    ;0       ;App móvil  ;BIB0015;2              ;Préstamo interbibliotecario   ;2
PRE0000239;2024-02-18;2024-03-10;          ;USR002259;Estudiante  ;Luis Blanco Gómez          ;LB00610;5625889679240;Arquitectura de Datos Vol. 1            ;M. Ross         ;Ciencias   ;Ingenierías     ;Atrasado    ;183750  ;Autoservicio;BIB0004;0              ;Usuario reporta portada dañada;2
PRE0000239;2024-12-28;2025-01-25;          ;USR000560;Estudiante  ;Laura Sánchez Torres       ;LB00476;5971072563669;Arquitectura de Datos Vol. 2            ;L. Mora         ;Tecnología;Central          ;Atrasado    ;103500  ;Mostrador   ;BIB0039;1              ;                               ;2
PRE0000241;2024-01-22;2024-02-05;2024-02-10;USR001971;Funcionario ;Sebastián Blanco Cordero   ;LB00690;1041459642297;Economía Digital Vol. 1                ; M. Sánchez    ;Literatura ;Pacífico        ;Devuelto    ;1250    ;Autoservicio;BIB0021;3              ;Entrega con atraso             ;2
PRE0000241;2024-09-24;2024-10-15;2024-10-26;USR002612;Estudiante  ; Julio Aguilar Calvo        ;LB00409;1002194672324;Gobernanza de Datos Vol. 2              ;R. Kimball      ;Medicina   ;Atlántico       ;Devuelto    ;2750    ;Autoservicio;BIB0005;1              ;Renovado una vez               ;2
PRE0000249;2024-08-14;2024-09-11;          ;USR000303;Docente     ;Carlos Valverde Ramírez    ;LB00258;7589975711305;Minería de Datos Vol. 3                ;M. Ross         ;Tecnología;Pacífico        ;Atrasado    ;137500  ;En línea   ;BIB0003;1              ;Revisión pendiente            ;2
PRE0000249;2025-12-20;2026-01-10;2026-01-10;USR002738;Estudiante  ;Andrés Solano Mora         ;LB00649;2009282066784;Derecho de la Información Vol. 1       ;D. Fernández   ;Historia   ;Ciencias Sociales;Devuelto    ;0       ;En línea   ;BIB0010;0              ;Revisión pendiente            ;2
PRE0000252;2023-04-03;2023-04-24;2023-04-20;USR003524;Funcionario ; Paola Chaves Herrera       ;LB00705;9859167954107;Arquitectura de Datos Vol. 3            ;P. Ponniah      ;Literatura ;Humanidades      ;Devuelto    ;0       ;En línea   ;BIB0024;0              ;Entrega con atraso             ;2
PRE0000252;2025/13/01;2023-03-20;2023-03-26;USR004952;Investigador;Andrea Rojas Navarro        ;LB00019;5346247510799;Algoritmos y Estructuras Vol. 3         ;M. Sánchez     ;Tecnología;Pacífico        ;Devuelto    ;1500    ;Autoservicio;BIB0026;1              ;                               ;2
PRE0000259;2024-01-25;2024-02-08;          ;USR002781;Estudiante  ;Laura Rojas Quesada         ;LB00718;6094097052774;Sistemas de Información Vol. 4         ; A. Pérez      ;Sociología;Salud            ;Atrasado    ;191500  ;Mostrador   ;BIB0040;0              ;Préstamo interbibliotecario   ;2
PRE0000259;2024-11-02;2024-11-23;2024-11-19;USR000325;Estudiante  ;María Campos Solano        ;LB00460;5419876351484;Metodología de la Investigación Vol. 1;A. Pérez       ;Sociología;Ciencias Sociales;Devuelto    ;0       ;En línea   ;BIB0014;2              ;Revisión pendiente            ;2
PRE0000265;2024-05-12;2024-05-19;2024-05-23;USR001667;Docente     ;Daniela Rodríguez Salazar  ;LB00142;0391065180170;Metodología de la Investigación Vol. 1;E. Quesada      ;Matemática;Pacífico        ;Devuelto    ;1000    ;En línea   ;BIB0026;1              ;Usuario reporta portada dañada;2
PRE0000265;2024-05-20;2024-06-17;2024-06-23;USR004742;Funcionario ;Valeria Rojas Sánchez      ;LB00378;7157724599281;Investigación de Operaciones Vol. 4    ;R. Kimball      ;Historia   ;Salud            ;Devuelto    ;1500    ;App móvil  ;BIB0021;2              ;N/A                            ;2
PRE0000273;2025-01-03;2025-01-10;2025-01-15;USR-XX   ;Estudiante  ;Elena Salazar Mora          ;LB00069;8424745171236;Análisis Multivariado Vol. 2           ;A. Solís       ;Economía  ;Atlántico       ;Devuelto    ;1250    ;Autoservicio;BIB0020;1              ;Entrega con atraso             ;2
PRE0000273;2025-02-25;2025-03-18;2025-03-22;USR002467;Estudiante  ;Gabriela Araya Araya        ;LB00265;0571983863840;  Gestión de Bases de Datos Vol. 3     ;P. Ponniah      ;Economía  ;Humanidades      ;Devuelto    ;1000    ;Autoservicio;BIB0021;0              ;Usuario reporta portada dañada;2
PRE0000274;2024-04-12;2024-05-10;2024-05-15;USR000365;Funcionario ;Julio Cordero Murillo       ;LB00132;8484219933083;Metodología de la Investigación Vol. 4;P. Ponniah      ;Tecnología;Humanidades      ;Devuelto    ;1250    ;App móvil  ;BIB0031;2              ;                               ;2
PRE0000274;2025-03-20;2025-03-27;          ;USR002588;Docente     ;Gabriela Salazar Valverde   ;LB00251;1100225579415;Sistemas de Información Vol. 3         ;C. Vargas       ;Arte       ;Humanidades      ;Perdido     ;7500    ;En línea   ;BIB0012;0              ;Préstamo interbibliotecario   ;2
PRE0000284;2024-06-17;2024-07-15;          ;USR001649;Estudiante  ;Valeria Sánchez Blanco     ;LB00616;3096348079705;Sistemas de Información Vol. 4         ;D. Fernández   ;MATEM�?TICA;Occidente        ;En préstamo;0       ;Autoservicio;BIB0028;1              ;Revisión pendiente            ;2
PRE0000284;2025-09-11;2025-09-18;2025-09-16;USR004308;Docente     ; Paula Salazar Rodríguez   ;LB00305;5957947284639;Teoría de la Información Vol. 1       ;M. Ross         ;Medicina   ;Central          ;Devuelto    ;0       ;Autoservicio;BIB0015;0              ;                               ;2
PRE0000286;2023-04-23;2023-04-30;2023-04-30;USR004559;Estudiante  ;David Jiménez Salazar      ;LB00675;6027523343836;Fundamentos de Bibliotecología Vol. 1  ;C. Inmon        ;Sociología;Atlántico       ;Devuelto    ;0       ;Autoservicio;BIB0013;3              ;Revisión pendiente            ;2
PRE0000286;2024-06-02;2024-06-16;2024-06-13;USR000849;Externo     ;Sofía Jiménez Blanco      ;LB00089;1645352181883;Diseño de Experimentos Vol. 4          ;E. Quesada      ;Economía  ;Salud            ;Devuelto    ;0       ;Mostrador   ;BIB0037;0              ;                               ;2
PRE0000291;2025-08-21;2025-09-04;2025-09-16;USR004456;Estudiante  ;Daniela Alvarado Valverde   ;LB00008;7848018451462;Historia de Costa Rica Vol. 4           ;E. Quesada      ;Sociología;Ciencias Sociales;Devuelto    ;3000    ;App móvil  ;BIB0006;1              ;                               ;2
PRE0000291;2026-01-16;2026-01-23;2026-01-28;USR004093;Estudiante  ;Luis Castro Salazar         ;LB00536;0785931109193;Teoría de la Información Vol. 1       ;C. Vargas       ;Derecho    ;Salud            ;Devuelto    ;1250    ;Autoservicio;BIB0009;0              ;Usuario reporta portada dañada;2
PRE0000299;2023-10-02;2023-10-16;2023-10-20;USR001674;Investigador;Lucía Sánchez Rodríguez  ;LB00663;0306442121461;Modelado Dimensional Vol. 4             ;S. Atre         ;Tecnología;Occidente        ;Devuelto    ;1000    ;App móvil  ;BIB0012;0              ;Usuario reporta portada dañada;2
PRE0000299;2024-06-28;2024-07-12;          ;USR004606;Estudiante  ;                            ;LB00365;9787729343010; Arquitectura de Datos Vol. 3           ;L. Rodríguez   ;Sociología;Atlántico       ;En préstamo;0       ;Autoservicio;BIB0007;0              ;Préstamo interbibliotecario   ;2
PRE0000319;2023-07-19;2023-07-26;          ;USR000504;Externo     ; Javier Vargas Murillo      ;LB00303;5182755394237;Diseño de Experimentos Vol. 3          ;C. Inmon        ;Arte       ;Ciencias Sociales;Atrasado    ;240750  ;App móvil  ;BIB0002;3              ;                               ;2
PRE0000319;2024-12-23;2024-12-30;          ;USR000629;Estudiante  ;Elena Valverde Aguilar      ;LB00360;7809733977671;Arquitectura de Datos Vol. 1            ;L. Mora         ;Medicina   ;Ingenierías     ;Atrasado    ;110000  ;En línea   ;BIB0015;0              ;Entrega con atraso             ;2
PRE0000355;2024-11-07;2024-11-28;2024-11-30;USR004153;Estudiante  ;Kevin Araya Ramírez        ;LB00513;4544702296044;Gestión de Bases de Datos Vol. 2       ;A. Pérez       ;Educación ;Ingenierías     ;Devuelto    ;500     ;Autoservicio;BIB0022;0              ;                               ;2
PRE0000355;2025-07-01;2025-07-29;2025-07-26;USR002466;Estudiante  ;Sofía Salazar Mora         ;LB00594;7294209548149;Fundamentos de Bibliotecología Vol. 3  ;J. Caserta      ;Medicina   ;Ciencias Sociales;Devuelto    ;0       ;App móvil  ;BIB0040;1              ;Revisión pendiente            ;2
PRE0000380;2023-03-22;2023-04-05;2023-04-03;USR004444;Estudiante  ;David Vega Campos           ;LB00160;8562185016315;Programación en Python Vol. 2          ;E. Quesada      ;Derecho    ;Occidente        ;Devuelto    ;0       ;Autoservicio;BIB0007;0              ;                               ;2
PRE0000380;2024-08-30;2024-09-13;2024-09-24;USR003772;Docente     ;Roberto Alvarado Murillo    ;LB00427;4025472928422;Arquitectura de Datos Vol. 2            ; S. Atre        ;Educación ;Pacífico        ;Devuelto    ;2750    ;En línea   ;BIB0040;3              ;Entrega con atraso             ;2
PRE0000381;2023-03-08;2023-03-15;2023-03-24;USR004052;Estudiante  ;Kevin Rojas Araya           ;LB00655;2711332288985;Administración de Proyectos Vol. 1     ;D. Fernández   ;Ciencias   ;Atlántico       ;Devuelto    ;2250    ;En línea   ;BIB0029;3              ;                               ;2
PRE0000381;2024-05-11;2024-06-08;          ;USR001977;Externo     ;David Aguilar Blanco        ;LB00314;2023413261117;Algoritmos y Estructuras Vol. 4         ;J. Ramírez     ;Ciencias   ;Central          ;Atrasado    ;161250  ;En línea   ;BIB0029;1              ;                               ;2
PRE0000394;2023-11-24;2023-12-08;2023-12-03;USR003641;Estudiante  ;Gabriela Torres Navarro     ;LB00168;8073741672434;Aprendizaje Automático Vol. 2          ; S. Gómez      ;Derecho    ;Occidente        ;Devuelto    ;0       ;Mostrador   ;BIB0021;3              ;Usuario reporta portada dañada;2
PRE0000394;2024-07-18;2024-08-01;2024-08-02;USR003490;Estudiante  ;Andrea Rojas Sánchez       ;LB00617;5105265016731;Introducción a la Estadística Vol. 4  ;C. Vargas       ;Matemática;Sin sede         ;Devuelto    ;250     ;Mostrador   ;BIB0025;0              ;Revisión pendiente            ;2
PRE0000406;2023-12-29;2024-01-19;2024-01-27;USR001606;Estudiante  ;Paula Salazar Aguilar       ;LB00367;5569902355770;Sistemas de Información Vol. 3         ;R. Kimball      ;Historia   ;Ciencias Sociales;Devuelto    ;2000    ;App móvil  ;BIB0015;0              ;                               ;2
PRE0000406;2024-01-30;2024-02-20;2024-03-01;USR002158;Estudiante  ;Kevin Mora Salazar          ;LB00082;9368998094024;Modelado Dimensional Vol. 3             ;A. Pérez       ;Matemática;Occidente        ;Devuelto    ;2500    ;En línea   ;BIB0036;1              ;Revisión pendiente            ;2
PRE0000416;2023-02-13;2023-02-27;2023-02-23;USR002433;Estudiante  ;Julio Alvarado Vargas       ;LB00437;ISBN-000X    ;Aprendizaje Automático Vol. 3          ;S. Atre         ;Historia   ;Central          ;Devuelto    ;0       ;App móvil  ;BIB0007;3              ;Préstamo interbibliotecario   ;2
PRE0000416;2025-06-25;NULL      ;2025-07-18;USR004870;Estudiante  ;Natalia Jiménez Valverde   ;LB00706;2849824741407;Ética y Tecnología Vol. 2             ;L. Mora         ;Derecho    ;Atlántico       ;Devuelto    ;0       ;App móvil  ;BIB0005;1              ;                               ;2
PRE0000430;2025-03-04;2025-03-11;2025-03-10;USR001741;Estudiante  ;Andrés Sánchez Sánchez   ;LB00110;6582029702135;Arquitectura de Datos Vol. 1            ;C. Inmon        ;Derecho    ;Central          ;Devuelto    ;0       ;Autoservicio;BIB0012;2              ;Renovado una vez               ;2
