id_prestamo;fecha_prestamo;fecha_vencimiento;fecha_devolucion;categoria;tipo_usuario;estado_prestamo;canal_prestamo;isbn;renovaciones;autor;sede_biblioteca;nombre_usuario;observaciones;titulo_libro;id_libro;id_bibliotecario;multa_crc;id_usuario;nr_errores;descripcion_error;campos_error;codigos_error
PRE0000222;2025-07-12;2025-07-26;2025-07-30;Historia;Docente;Devuelto;Autoservicio;9781ABC;1;R. Kimball;Salud;Miguel Sánchez Ramírez;Préstamo interbibliotecario;Sistemas de Información Vol. 3;LB00367;BIB0018;1000.0;USR001078;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000288;2025-07-08;2025-08-05;;Educación;Estudiante;;Mostrador;3293183933529;0;M. Ross;Ciencias Sociales;Paula Navarro Sánchez;;Derecho de la Información Vol. 1;LB00074;BIB0015;0.0;USR004042;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0000300;2023-05-27;2023-06-24;2023-06-27;Literatura;Estudiante;Devuelto;App móvil;0379176936763;2;L. Rodríguez;Salud;Roberto Sánchez Valverde;Revisión pendiente;Diseño de Experimentos Vol. 2;LB00031;;750.0;USR000081;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0000313;2024-05-29;2024-06-12;2024-06-16;Sociología;Estudiante;Devuelto;En línea;8560125625313;1;D. Fernández;Humanidades;;;Arquitectura de Datos Vol. 4;LB00683;BIB0026;1000.0;USR004537;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0000332;2025-05-31;2025-06-14;2025-06-11;Ingeniería;Estudiante;Devuelto;En línea;4332181960013;0;R. Kimball;Pacífico;Carlos Castro Sánchez;;Derecho de la Información Vol. 1;LB00001;BIB0019;0.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000339;2025-03-28;2025-04-25;2025-05-01;Sociología;Investigador;Devuelto;Mostrador;9787729343010;0;L. Rodríguez;Salud;Laura Campos Navarro;Revisión pendiente;Arquitectura de Datos Vol. 3;LB00365;BIB0001;1500.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000365;2023-03-10;;;Sociología;Estudiante;En préstamo;En línea;4565118102203;3;L. Rodríguez;Salud;Manuel Cordero Araya;;Análisis Multivariado Vol. 4;LB00330;BIB0038;0.0;USR004291;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0000379;2025-03-06;2025-03-13;2025-03-23;Educación;Estudiante;Devuelto;Mostrador;5623869222196;;D. Fernández;Central;Luis Sánchez Mora;Renovado una vez;Minería de Datos Vol. 1;LB00064;BIB0034;2500.0;USR004344;1;renovaciones inválida o negativa;renovaciones;RENOVACIONES
PRE0000392;2025-08-06;2025-08-20;;Ingeniería;Estudiante;;Mostrador;6611062737158;0;L. Rodríguez;Salud;Andrés Aguilar Quesada;;Investigación de Operaciones Vol. 1;LB00510;BIB0004;0.0;USR004579;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0000393;2024-05-16;2024-06-13;;Ciencias;Docente;Devuelto;En línea;5799136621038;0;;Occidente;Paula Herrera Calvo;Revisión pendiente;Fundamentos de Bibliotecología Vol. 2;LB00290;BIB0004;0.0;USR002332;1;autor vacío;autor;AUTOR
PRE0000405;2025-07-26;2025-08-09;2025-08-10;Ingeniería;Docente;Devuelto;Mostrador;000X;0;R. Kimball;Humanidades;Daniela Blanco Herrera;Préstamo interbibliotecario;Diseño de Experimentos Vol. 1;LB00112;BIB0029;250.0;USR001294;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000415;2023-08-04;2023-08-25;2023-08-31;Ciencias;Estudiante;Devuelto;App móvil;8457652132833;0;R. Kimball;Pacífico;María Aguilar Jiménez;Usuario reporta portada dañada;Modelado Dimensional Vol. 2;LB00440;BIB0001;1500.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000443;2023-12-27;2024-01-24;2024-02-03;Matemática;Estudiante;Devuelto;Mostrador;7317810801326;0;S. Gómez;Ingenierías;;Usuario reporta portada dañada;Fundamentos de Bibliotecología Vol. 4;LB00015;BIB0008;2500.0;USR000155;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0000450;2023-03-05;2023-03-26;2023-03-29;Historia;Estudiante;Devuelto;Autoservicio;NULL;3;J. Caserta;Atlántico;Lucía Cordero Salazar;;Programación en Python Vol. 1;LB00641;BIB0021;750.0;USR000738;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000469;2025-01-16;2025-02-13;2025-02-15;Medicina;Estudiante;Devuelto;;1002194672324;0;R. Kimball;Salud;Camila Torres Rodríguez;;Gobernanza de Datos Vol. 2;LB00409;BIB0039;500.0;USR001843;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0000504;2024-08-23;2024-09-06;;Matemática;Estudiante;Perdido;Mostrador;3096348079705;0;D. Fernández;Salud;Lucía Quesada Mora;;;LB00616;BIB0009;10000.0;USR004657;1;titulo_libro vacío;titulo_libro;TITULO
PRE0000512;2025-10-12;2025-11-02;2025-11-11;Literatura;Funcionario;En préstamo;Autoservicio;2041792911179;0;L. Rodríguez;Humanidades;Paola Mora Mora;Revisión pendiente;Gestión de Bases de Datos Vol. 2;LB00406;BIB0016;2250.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000601;2025-09-18;2025-10-09;2025-10-08;Arte;Estudiante;Devuelto;App móvil;1632945116868;3;M. Ross;Pacífico;Andrés Valverde Gómez;;Análisis Multivariado Vol. 2;LB00227;BIB0005;0.0;USR-XX;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000639;2023-11-07;2023-12-05;2023-12-15;Literatura;Estudiante;Devuelto;Mostrador;0780686717731;;J. Ramírez;Atlántico;David Salazar Chaves;Entrega con atraso;Administración de Proyectos Vol. 1;LB00418;BIB0033;2500.0;USR002845;1;renovaciones inválida o negativa;renovaciones;RENOVACIONES
PRE0000640;2024-03-10;2024-03-24;2024-03-30;Ciencias;Estudiante;Devuelto;App móvil;4118244935348;0;A. Pérez;Humanidades;;Usuario reporta portada dañada;Introducción a la Estadística Vol. 3;LB00021;BIB0020;1500.0;USR001469;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0000654;;2024-10-20;2024-10-25;Ingeniería;Estudiante;Devuelto;En línea;2175250074329;9;C. Vargas;Ingenierías;María Rojas Vega;Revisión pendiente;Investigación de Operaciones Vol. 2;LB00242;BIB0032;1250.0;USR001747;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0000658;;2024-02-13;2024-02-21;Ingeniería;Docente;Devuelto;En línea;1928327648350;3;M. Sánchez;Pacífico;Andrea Rodríguez Navarro;Revisión pendiente;Modelado Dimensional Vol. 2;LB00005;BIB0007;2000.0;USR001594;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0000663;2024-03-12;;;Medicina;Estudiante;En préstamo;En línea;8755886753396;0;L. Rodríguez;Atlántico;Laura Castro Murillo;;Administración de Proyectos Vol. 4;LB00060;BIB0009;0.0;USR002237;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0000696;2024-01-20;2024-02-03;;Ingeniería;Investigador;En préstamo;App móvil;0494519832731;0;J. Ramírez;Pacífico;Roberto Torres Salazar;revisar datos;Ciencia de Datos Aplicada Vol. 3;LB00081;;0.0;USR004112;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0000700;2025-04-04;2025-04-11;;Derecho;Estudiante;Atrasado;En línea;000X;0;E. Quesada;Humanidades;Luis Rodríguez Calvo;Usuario reporta portada dañada;Programación en Python Vol. 2;LB00160;BIB0014;84500.0;USR002945;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000712;2025-08-16;;;Economía;Estudiante;Atrasado;App móvil;4282417248251;0;A. Solís;Central;Camila Mora Jiménez;;Ética y Tecnología Vol. 4;LB00239;BIB0035;45750.0;USR000103;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0000757;2023-12-12;2024-01-02;2024-01-06;matem�?tica;Estudiante;;En línea;9587020701601;0;C. Inmon;Occidente;Julio Solano Jiménez;Préstamo interbibliotecario;Diseño de Experimentos Vol. 2;LB00375;BIB0022;1000.0;USR004671;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0000766;2023-01-16;2023-01-23;2023-01-13;Literatura;Externo;Atrasado;Autoservicio;9881385854249;2;A. Pérez;Salud;Diego Ramírez Rodríguez;;Programación en Python Vol. 3;LB00374;BIB0024;286750.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000811;2023-09-29;2023-10-27;2023-11-03;Tecnología;Funcionario;Devuelto;En línea;12345;1;S. Atre;Atlántico;Javier Quesada Campos;Préstamo interbibliotecario;Modelado Dimensional Vol. 4;LB00663;BIB0040;1750.0;USR001904;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000817;2023-06-05;2023-06-26;2023-06-29;Ingeniería;Estudiante;Devuelto;App móvil;9319525690409;0;C. Vargas;Pacífico;Paola Rodríguez Valverde;;Aprendizaje Automático Vol. 1;LB00592;;750.0;USR001479;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0000819;2024-02-23;2024-03-01;2024-03-06;Historia;Externo;Devuelto;Mostrador;12345;1;A. Pérez;Salud;María Sánchez Castro;Revisión pendiente;Derecho de la Información Vol. 4;LB00534;BIB0026;1250.0;USR003143;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000834;2024-02-07;2024-02-28;2024-03-03;Derecho;Estudiante;Devuelto;Autoservicio;NULL;1;J. Caserta;Salud;Javier Calvo Jiménez;;Introducción a la Estadística Vol. 1;LB00054;BIB0026;1000.0;USR001874;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000841;2023-03-20;2023-04-17;;Ciencias;Estudiante;;En línea;6567661825128;1;S. Gómez;Atlántico;Natalia Cordero Campos;Entrega con atraso;Sistemas de Información Vol. 4;LB00143;BIB0039;0.0;USR000226;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0000845;2025-07-14;2025-07-21;2025-07-19;Ingeniería;Estudiante;Devuelto;;6893639264957;0;C. Inmon;Ciencias Sociales;María Jiménez Salazar;Usuario reporta portada dañada;Gobernanza de Datos Vol. 2;LB00349;BIB0010;0.0;USR001637;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0000846;2023-06-25;2023-07-09;2023-07-09;Literatura;Estudiante;Devuelto;App móvil;000X;0;;Ciencias Sociales;Sofía Vargas Solano;;Visualización de Datos Vol. 2;LB00742;BIB0004;0.0;USR003532;3;isbn con formato/longitud inválida | isbn con formato/longitud inválida | autor vacío;isbn | isbn | autor;ISBN | ISBN | AUTOR
PRE0000847;2024-04-18;2024-04-25;2024-05-04;Derecho;Externo;Devuelto;Mostrador;NULL;2;J. Ramírez;Pacífico;;;Economía Digital Vol. 4;LB00582;BIB0014;2250.0;USR001169;3;isbn con formato/longitud inválida | isbn con formato/longitud inválida | nombre_usuario vacío;isbn | isbn | nombre_usuario;ISBN | ISBN | NOMBRE_USUARIO
PRE0000881;2024-02-14;2024-03-06;;Sociología;Estudiante;Atrasado;En línea;7829221699586;2;J. Ramírez;Humanidades;Camila Murillo Torres;Préstamo interbibliotecario;Algoritmos y Estructuras Vol. 1;LB00261;BIB0028;184750.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0000888;2025-10-23;2025-10-30;;Historia;Estudiante;Atrasado;En línea;2447315847768;1;J. Caserta;Salud;Andrés Quesada Aguilar;Préstamo interbibliotecario;;LB00680;BIB0033;34000.0;USR003673;1;titulo_libro vacío;titulo_libro;TITULO
PRE0000900;2025-04-19;2025-05-10;2025-05-18;Historia;Estudiante;Devuelto;;3863383928861;0;A. Pérez;Ingenierías;Gabriela Ramírez Vargas;Revisión pendiente;Historia de Costa Rica Vol. 2;LB00333;BIB0040;2000.0;USR002199;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0000910;2023-05-11;2023-05-18;2023-05-15;Matemática;Estudiante;Devuelto;En línea;7264908277181;2;D. Fernández;Ingenierías;;Préstamo interbibliotecario;Investigación de Operaciones Vol. 4;LB00356;BIB0037;0.0;USR004692;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0000926;2023-12-25;;2024-01-12;Derecho;Docente;Devuelto;En línea;9648253110609;2;A. Pérez;Humanidades;David Navarro Campos;Préstamo interbibliotecario;Aprendizaje Automático Vol. 2;LB00674;BIB0003;2750.0;USR001093;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0000933;2023-06-27;2023-07-11;;Ciencias;Estudiante;Atrasado;Autoservicio;8421020539502;0;L. Rodríguez;Salud;Kevin Blanco Alvarado;;Introducción a la Estadística Vol. 3;LB00075;;244500.0;USR001727;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0000966;2024-02-08;2024-03-07;2024-03-15;Derecho;Estudiante;Devuelto;En línea;000X;0;C. Inmon;Occidente;Javier Solano Aguilar;;Arquitectura de Datos Vol. 1;LB00110;BIB0028;2000.0;USR004352;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0000974;;2025-07-31;;Economía;Investigador;Atrasado;Mostrador;7849912165585;2;E. Quesada;Pacífico;Camila Quesada Solano;;Sistemas de Información Vol. 1;LB00124;BIB0021;56750.0;USR004002;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0000982;2025-10-25;2025-11-15;;Economía;Estudiante;En préstamo;Mostrador;3420165423567;3;J. Ramírez;Salud;Andrés Quesada Castro;;Sistemas de Información Vol. 4;LB00664;;0.0;USR004783;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0001016;2024-03-16;2024-04-06;2024-04-06;Matemática;Estudiante;Devuelto;Autoservicio;6747468971527;0;S. Gómez;Salud;Julio Alvarado Jiménez;Renovado una vez;Redes y Telecomunicaciones Vol. 2;LB00576;;0.0;USR002569;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0001017;2023-08-11;2023-09-08;;Medicina;Estudiante;Atrasado;Mostrador;000X;2;J. Ramírez;Salud;Diego Navarro Navarro;;Derecho de la Información Vol. 4;LB00495;BIB0021;229750.0;USR004956;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001022;2023-08-30;2023-09-13;2023-09-08;Ciencias;Estudiante;Devuelto;En línea;2005436459701;0;;Pacífico;Luis Solano Araya;Usuario reporta portada dañada;Ética y Tecnología Vol. 4;LB00412;BIB0040;0.0;USR003284;1;autor vacío;autor;AUTOR
PRE0001035;;2024-04-28;2024-04-30;Tecnología;Estudiante;Devuelto;Autoservicio;8987751536637;0;S. Atre;Occidente;Manuel Jiménez Gómez;Renovado una vez;Metodología de la Investigación Vol. 2;LB00552;BIB0007;500.0;USR004658;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0001036;2024-07-18;;2024-08-04;Ingeniería;Externo;Devuelto;En línea;7221704303054;0;L. Mora;Ciencias Sociales;Alonso Torres Vega;;Derecho de la Información Vol. 2;LB00106;BIB0032;2500.0;USR002227;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0001045;2023-09-15;2023-10-06;2023-10-14;Derecho;Externo;Devuelto;En línea;8141413975523;0;L. Mora;Ingenierías;Julio Torres Chaves;;Ética y Tecnología Vol. 1;LB00278;BIB0026;2000.0;;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0001058;2025-11-18;2025-11-25;2025-11-20;Historia;Estudiante;Devuelto;Autoservicio;;1;R. Kimball;Central;Luis Gómez Chaves;Entrega con atraso;Sistemas de Información Vol. 3;LB00367;BIB0002;0.0;USR000298;1;isbn con formato/longitud inválida;isbn;ISBN
PRE0001068;2025-04-03;2025-04-10;2025-04-16;Sociología;Estudiante;Devuelto;Mostrador;4738347359774;2;L. Mora;Ingenierías;Javier Vargas Jiménez;;;LB00098;BIB0027;1500.0;USR000500;1;titulo_libro vacío;titulo_libro;TITULO
PRE0001079;2023-02-19;2023-03-19;2023-03-29;Tecnología;Estudiante;Devuelto;App móvil;1059274523805;0;;Salud;Mariana Alvarado Aguilar;;Economía Digital Vol. 2;LB00428;BIB0027;2500.0;USR001886;1;autor vacío;autor;AUTOR
PRE0001084;2025-02-07;2025-02-28;2025-02-23;Derecho;Estudiante;;App móvil;9901398373540;1;E. Quesada;Occidente;David Gómez Castro;;Gestión de Bases de Datos Vol. 3;LB00150;BIB0036;0.0;USR001286;1;estado_prestamo vacío;estado_prestamo;ESTADO
PRE0001111;2023-05-29;2023-06-05;2023-06-13;Arte;Estudiante;Devuelto;App móvil;12345;3;M. Sánchez;Ingenierías;Ana Ramírez Aguilar;;Ciencia de Datos Aplicada Vol. 2;LB00262;BIB0013;2000.0;USR000426;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001146;2026-01-02;;;Literatura;Estudiante;En préstamo;App móvil;3108907140140;1;J. Ramírez;Humanidades;Andrea Cordero Gómez;;Introducción a la Estadística Vol. 4;LB00443;BIB0039;0.0;USR000901;1;fecha_vencimiento inválida;fecha_vencimiento;FECHA_VENCIMIENTO
PRE0001160;2025-12-15;2026-01-05;2026-01-15;Sociología;Estudiante;Devuelto;App móvil;12345;0;S. Atre;Ciencias Sociales;David Rodríguez Navarro;;Teoría de la Información Vol. 2;LB00065;BIB0016;2500.0;USR003972;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001176;2025-10-19;2025-11-09;;Ingeniería;Estudiante;Atrasado;App móvil;9319525690409;0;C. Vargas;Occidente;N/A;;;LB00592;BIB0019;31500.0;USR001287;1;titulo_libro vacío;titulo_libro;TITULO
PRE0001185;2025-01-28;2025-02-11;;Medicina;Estudiante;Atrasado;En línea;12345;0;L. Rodríguez;Occidente;Manuel Cordero Blanco;;Economía Digital Vol. 1;LB00589;BIB0010;99250.0;USR002797;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001196;;2023-11-22;2023-11-25;Arte;Estudiante;Devuelto;Mostrador;8114921643347;2;R. Kimball;Occidente;Andrés Calvo Gómez;Préstamo interbibliotecario;Redes y Telecomunicaciones Vol. 1;LB00315;BIB0008;750.0;USR003774;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0001197;2025-08-23;2025-08-30;2025-09-08;Sociología;Externo;Devuelto;Mostrador;7887543943535;3;M. Ross;??;Laura Castro Cordero;N/A;Metodología de la Investigación Vol. 1;LB00748;BIB0022;2250.0;USR-XX;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0001201;2027-01-15;2024-06-29;2024-07-07;Derecho;Estudiante;Devuelto;Mostrador;4085095493059;0;M. Ross;Occidente;;Usuario reporta portada dañada;Ética y Tecnología Vol. 4;LB00738;BIB0019;2000.0;USR002486;1;nombre_usuario vacío;nombre_usuario;NOMBRE_USUARIO
PRE0001229;2025-02-01;2025-03-01;2025-03-10;Educación;Estudiante;Devuelto;Autoservicio;3042897317912;0;L. Rodríguez;Pacífico;Elena Cordero Calvo;;;LB00545;BIB0021;2250.0;USR001831;1;titulo_libro vacío;titulo_libro;TITULO
PRE0001259;2024-02-24;2024-03-09;;Sociología;Investigador;Atrasado;En línea;000X;0;L. Rodríguez;Humanidades;Elena Blanco Blanco;;Algoritmos y Estructuras Vol. 4;LB00291;BIB0017;184000.0;USR004095;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001271;2026-02-24;2026-03-17;;Derecho;Estudiante;Atrasado;Mostrador;2368314727601;0;S. Atre;Occidente;Andrea Mora Ramírez;;Introducción a la Estadística Vol. 2;LB00493;;0.0;USR000153;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0001284;2023-08-19;2023-09-02;;Medicina;Funcionario;Perdido;;7689627066149;3;S. Gómez;Ciencias Sociales;Javier Araya Calvo;;Gobernanza de Datos Vol. 4;LB00575;BIB0034;7500.0;USR002871;1;canal_prestamo vacío;canal_prestamo;CANAL
PRE0001288;;2025-01-26;2025-02-01;matem�?tica;Estudiante;Devuelto;En línea;5105265016731;0;C. Vargas;Occidente;Miguel Valverde Navarro;;Introducción a la Estadística Vol. 4;LB00617;BIB0018;1500.0;USR004200;1;fecha_prestamo inválida;fecha_prestamo;FECHA_PRESTAMO
PRE0001300;2025-11-01;2025-11-22;2025-12-03;Sociología;Investigador;Devuelto;Mostrador;9156686334141;1;J. Caserta;Pacífico;Andrea Aguilar Vega;;Economía Digital Vol. 3;LB00591;BIB0034;2750.0;??;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0001323;2024-03-24;2024-03-31;2024-03-26;Medicina;Funcionario;Devuelto;App móvil;3899756341085;1;E. Quesada;Pacífico;Paula Vega Cordero;Revisión pendiente;Algoritmos y Estructuras Vol. 2;LB00506;BIB0010;0.0;NULL;1;id_usuario vacío o con formato inválido;id_usuario;ID_USUARIO
PRE0001327;2025-02-25;2025-03-18;2025-03-15;Economía;Estudiante;Devuelto;Autoservicio;NULL;0;S. Gómez;Atlántico;Luis Chaves Blanco;Entrega con atraso;Algoritmos y Estructuras Vol. 4;LB00529;BIB0035;0.0;USR002203;2;isbn con formato/longitud inválida | isbn con formato/longitud inválida;isbn | isbn;ISBN | ISBN
PRE0001354;2025-12-06;2025-12-13;;Educación;Estudiante;En préstamo;Autoservicio;0416591520177;0;A. Pérez;Atlántico;Julio Rojas Blanco;Renovado una vez;Diseño de Experimentos Vol. 4;LB00483;;0.0;USR000699;1;id_bibliotecario vacío o con formato inválido;id_bibliotecario;ID_BIBLIOTECARIO
PRE0001386;2026-01-16;2026-02-06;2026-02-13;Ingeniería;Estudiante;Devuelto;En línea;8449892665918;3;A. Pérez;Humanidades;Camila Murillo Aguilar;;;LB00285;BIB0020;1750.0;USR001750;1;titulo_libro vacío;titulo_libro;TITULO
